# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulLungenfunktion/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulLungenfunktion/Release-Notes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match 'releasenotes' -> changes (routing-table)
MIIIGModulLungenfunktion/BeschreibungModul.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulLungenfunktion/KontextimGesamtprojektBezgezuanderenModulen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
MIIIGModulLungenfunktion/Referenzen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'referenzen' -> implementer-guidance (routing-table)
MIIIGModulLungenfunktion/AnwendungsflleInformationsmodell/Index.page.md	input/pagecontent/anwendungsflleinformationsmodell.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulLungenfunktion/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
MIIIGModulLungenfunktion/AnwendungsflleInformationsmodell/Datensaetze_inkl._Beschreibungen.page.md	input/pagecontent/logical-models.md	semantic home per references/routing-table.tsv	3	semantic match 'datensaetze' -> logical-models (routing-table)
MIIIGModulLungenfunktion/AnwendungsflleInformationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulLungenfunktion/TechnischeImplementierung/Index.page.md	input/pagecontent/technischeimplementierung.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulLungenfunktion/TechnischeImplementierung/Terminologien.page.md	input/pagecontent/code-systems.md	semantic home per references/routing-table.tsv	3	semantic match 'terminologien' -> code-systems (routing-table)
MIIIGModulLungenfunktion/TechnischeImplementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Index.page.md	input/pagecontent/fhir-profile.md	cross-cutting narrative - own page (hub, pages:-nested)	4	no artefact anchor; no agreed page; 5 child page(s)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Index.page.md	input/pagecontent/value-sets.md	family overview - h3/h4 section on an artefact index page	2	3 children, 2 anchoring distinct artefacts (ValueSet)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Procedure.page.md	input/intro-notes/ValueSet-mii-vs-lufu-lnc-procedure-intro.md	content about one artefact - its intro note	1	compact match on mii-vs-lufu-lnc-procedure (2 candidate artefacts)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Report.page.md	input/pagecontent/value-sets.md	subsection of the family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Index.page.md	2	child of family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Index.page.md (no anchor of its own)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/FRC.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	7 children, 5 anchoring distinct artefacts (StructureDefinition)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/R_tot.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/FRC.page.md	2	child of family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/FRC.page.md (no anchor of its own)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/sR_tot.page.md	input/pagecontent/profiles.md	subsection of the family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/FRC.page.md	2	child of family overview MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/FRC.page.md (no anchor of its own)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/sR_eff.page.md	input/intro-notes/ValueSet-mii-vs-lufu-lnc-sr-eff-intro.md	content about one artefact - its intro note	1	compact match on mii-vs-lufu-lnc-sr-eff (1 candidate artefact)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/sG_tot.page.md	input/intro-notes/StructureDefinition-mii-pr-lungenfunktion-sg-total-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-lungenfunktion-sg-total (1 candidate artefact; intro note already present)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/TLC.page.md	input/intro-notes/StructureDefinition-mii-pr-lungenfunktion-tlc-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-lungenfunktion-tlc (4 candidate artefacts; intro note already present)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/RVL.page.md	input/intro-notes/StructureDefinition-mii-pr-lungenfunktion-rvl-intro.md	content about one artefact - its intro note	1	tokens match on mii-pr-lungenfunktion-rvl (4 candidate artefacts; intro note already present)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Bodyplethysmographie/Observation/RVLTLC.page.md	input/intro-notes/StructureDefinition-mii-pr-lungenfunktion-rvl-tlc-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-lungenfunktion-rvl-tlc (2 candidate artefacts; intro note already present)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Diffusion/Index.page.md	input/pagecontent/value-sets.md	family overview - h3/h4 section on an artefact index page	2	3 children, 2 anchoring distinct artefacts (ValueSet)
MIIIGModulLungenfunktion/TechnischeImplementierung/FHIR-Profile/Diffusion/Procedure.page.md	input/intro-notes/ValueSet-mii-vs-lufu-lnc-procedure-intro.md	content about one artefact - its intro note	1	compact match on mii-vs-lufu-lnc-procedure (2 candidate artefacts)
